Name,Artists,Main Artist,Year,Album,New Path
King of Hearts,Kim Petras,Kim Petras,2023-06-23,Feed The Beast,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\Kim Petras\Feed The Beast\225 - Kim Petras - King of Hearts.mp3
Happy Together,King Princess,King Princess,2019-08-30,Happy Together,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\King Princess\Happy Together\200 - King Princess - Happy Together.mp3
Unknown Summer,Burial,Kode9,2023-07-21,Infirmary / Unknown Summer,
Right Now (Original Mix),Kostrok,Kostrok,2013-04-05,Right Now,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\Kostrok\Right Now\308 - Kostrok - Right Now (Original Mix).mp3
Clap Your Hands,Kungs,Unknown,2022-03-18,Club Azur,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\Unknown\Unknown\Club Azur\097 - Kungs - Clap Your Hands.mp3
Never Going Home,Kungs,Kungs,2021-05-21,Never Going Home,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\Kungs\Never Going Home\072 - Kungs - Never Going Home.mp3
Padam Padam,Kylie Minogue,Kylie Minogue,2023-05-18,Padam Padam,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\Kylie Minogue\Padam Padam\217 - Kylie Minogue - Padam Padam.mp3
An Amazing,Kölsch,Kölsch,2023-09-15,An Amazing,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\K\Kölsch\An Amazing\151 - Kölsch - An Amazing.mp3
Always Remember Us This Way,Lady Gaga,Lady Gaga,2018-10-05,A Star Is Born Soundtrack,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\L\Lady Gaga\A Star Is Born Soundtrack\063 - Lady Gaga - Always Remember Us This Way.mp3
Hold My Hand,Lady Gaga,Lady Gaga,2022-05-03,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",
